Statistical profiling result from isolate-0x6371090-74757-v8.log, (7215 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   4709   65.3%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
    123    1.7%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
     14    0.2%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      2    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
   1583   21.9%   66.9%  LazyCompile: *<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/routes/random.js:10:23
     40    0.6%    1.7%  LazyCompile: *resolve node:path:1091:10
     14    0.2%    0.6%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      9    0.1%    0.4%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      7    0.1%    0.3%  LazyCompile: *realpathSync node:fs:2410:22
      3    0.0%    0.1%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
      2    0.0%    0.1%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      2    0.0%    0.1%  LazyCompile: *normalizeString node:path:66:25
      2    0.0%    0.1%  LazyCompile: *dirname node:path:1275:10
      2    0.0%    0.1%  LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      2    0.0%    0.1%  Function: ^canBeRequiredByUsers node:internal/bootstrap/loaders:240:30
      2    0.0%    0.1%  Function: ^Module.require node:internal/modules/cjs/loader:991:36
      2    0.0%    0.1%  Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      1    0.0%    0.0%  RegExp: ^\$ref$|^\$id$|^\$db$
      1    0.0%    0.0%  RegExp: (?:^|\/)\.?\.$
      1    0.0%    0.0%  LazyCompile: *validateString node:internal/validators:118:24
      1    0.0%    0.0%  LazyCompile: *readFileSync node:fs:450:22
      1    0.0%    0.0%  LazyCompile: *nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    0.0%    0.0%  LazyCompile: *getPathFromURLPosix node:internal/url:1447:29
      1    0.0%    0.0%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/fs/utils:686:40
      1    0.0%    0.0%  Function: ^unsigned32 /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/faker/vendor/mersenne.js:73:23
      1    0.0%    0.0%  Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      1    0.0%    0.0%  Function: ^syncExports node:internal/bootstrap/loaders:287:14
      1    0.0%    0.0%  Function: ^stringToFlags node:internal/fs/utils:555:23
      1    0.0%    0.0%  Function: ^require node:internal/modules/cjs/helpers:101:31
      1    0.0%    0.0%  Function: ^popAsyncContext node:internal/async_hooks:545:25
      1    0.0%    0.0%  Function: ^normalizeEncoding node:internal/util:160:27
      1    0.0%    0.0%  Function: ^multiplication32 /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/faker/vendor/mersenne.js:88:29
      1    0.0%    0.0%  Function: ^dirname node:path:1275:10
      1    0.0%    0.0%  Function: ^compileFunction node:vm:308:25
      1    0.0%    0.0%  Function: ^basename node:path:1306:11
      1    0.0%    0.0%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1    0.0%    0.0%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.0%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.0%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1    0.0%    0.0%  Function: ^Long.add /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/long.js:252:35
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:73:3
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:168:39
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:357:35

 [C++]:
   ticks  total  nonlib   name
    235    3.3%    9.9%  __write@@GLIBC_2.2.5
    108    1.5%    4.6%  fwrite@@GLIBC_2.2.5
     66    0.9%    2.8%  epoll_pwait@@GLIBC_2.6
     35    0.5%    1.5%  syscall@@GLIBC_2.2.5
     34    0.5%    1.4%  __libc_malloc@@GLIBC_2.2.5
     30    0.4%    1.3%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     23    0.3%    1.0%  _IO_file_xsputn@@GLIBC_2.2.5
     13    0.2%    0.5%  __pthread_mutex_unlock_usercnt
     11    0.2%    0.5%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      7    0.1%    0.3%  std::ostream::sentry::~sentry()@@GLIBCXX_3.4
      7    0.1%    0.3%  getrusage@@GLIBC_2.2.5
      7    0.1%    0.3%  cfree@GLIBC_2.2.5
      7    0.1%    0.3%  __libc_open
      7    0.1%    0.3%  __GI___pthread_mutex_lock
      6    0.1%    0.3%  __lll_lock_wait
      5    0.1%    0.2%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      5    0.1%    0.2%  operator new(unsigned long)@@GLIBCXX_3.4
      5    0.1%    0.2%  __mprotect@@GLIBC_PRIVATE
      4    0.1%    0.2%  __pthread_cond_wait
      4    0.1%    0.2%  __pthread_cond_signal
      4    0.1%    0.2%  __libc_read
      4    0.1%    0.2%  __GI___pthread_rwlock_unlock
      3    0.0%    0.1%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
      2    0.0%    0.1%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      2    0.0%    0.1%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      2    0.0%    0.1%  operator delete[](void*)@@GLIBCXX_3.4
      2    0.0%    0.1%  operator delete(void*)@@GLIBCXX_3.4
      2    0.0%    0.1%  fputc@@GLIBC_2.2.5
      2    0.0%    0.1%  __munmap@@GLIBC_PRIVATE
      2    0.0%    0.1%  __mmap@@GLIBC_PRIVATE
      2    0.0%    0.1%  __libc_write
      2    0.0%    0.1%  __clock_gettime@@GLIBC_PRIVATE
      2    0.0%    0.1%  _IO_setb@@GLIBC_2.2.5
      2    0.0%    0.1%  _IO_default_xsputn@@GLIBC_2.2.5
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)@@GLIBCXX_3.4.9
      1    0.0%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.0%    0.0%  std::_Rb_tree_increment(std::_Rb_tree_node_base*)@@GLIBCXX_3.4
      1    0.0%    0.0%  std::_Rb_tree_decrement(std::_Rb_tree_node_base*)@@GLIBCXX_3.4
      1    0.0%    0.0%  std::_Rb_tree_decrement(std::_Rb_tree_node_base const*)@@GLIBCXX_3.4
      1    0.0%    0.0%  pthread_condattr_setclock
      1    0.0%    0.0%  operator new[](unsigned long)@@GLIBCXX_3.4
      1    0.0%    0.0%  __madvise@@GLIBC_PRIVATE
      1    0.0%    0.0%  __getpid@@GLIBC_2.2.5
      1    0.0%    0.0%  __errno_location
      1    0.0%    0.0%  __GI___pthread_rwlock_wrlock
      1    0.0%    0.0%  __GI___pthread_mutex_unlock
      1    0.0%    0.0%  __GI___pthread_mutex_init
      1    0.0%    0.0%  __GI___pthread_mutex_destroy
      1    0.0%    0.0%  _IO_padn@@GLIBC_2.2.5
      1    0.0%    0.0%  _IO_file_sync@@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
   1697   23.5%   71.7%  JavaScript
    669    9.3%   28.3%  C++
    609    8.4%   25.7%  GC
   4848   67.2%          Shared libraries
      1    0.0%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    146   35.9%    2.0%  __write@@GLIBC_2.2.5
     98   24.1%    1.4%  fwrite@@GLIBC_2.2.5
     35    8.6%    0.5%  syscall@@GLIBC_2.2.5
     26    6.4%    0.4%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     20    4.9%    0.3%  _IO_file_xsputn@@GLIBC_2.2.5
     14    3.4%    0.2%  __libc_malloc@@GLIBC_2.2.5
      8    2.0%    0.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      7    1.7%    0.1%  __libc_open
      6    1.5%    0.1%  std::ostream::sentry::~sentry()@@GLIBCXX_3.4
